Route: www.up.pt
192.168.1.1	0.008266
* * *
200.51.240.173	0.013487	None
213.140.39.116	0.011366	None
176.52.249.86	0.008793	None
94.142.98.40	0.014678	America/Los_Angeles
154.54.13.25	0.004563	None
154.54.47.213	0.0103	None
154.54.44.229	0.036736	None
154.54.28.129	0.011982	None
154.54.24.221	0.011494	None
154.54.40.109	0.010767	None
154.54.42.86	0.011178	None
130.117.51.42	0.011784	None
130.117.0.142	0.01189	None
130.117.48.113	0.010104	None
149.6.42.74	0.0116	None
62.40.98.108	0.013701	Europe/London
62.40.98.66	0.021284	Europe/London
83.97.88.209	0.009087	Europe/London
83.97.88.210	0.010819	Europe/London
193.137.0.29	0.011904	None
193.136.1.2	0.013862	None
193.136.4.38	0.011696	None
193.136.54.81	0.00874	Europe/Lisbon
* * *
* * *
* * *
done!
Average: 0,00169525
Variance: 1,07353196924e-05
Standard Deviation: 0,0032764797714
Average+SD: 0,0049717297714
Average-SD: -0,0015812297714
IP	zscore	rtti	average	variance	Average+SD	Average-SD
192.168.1.1	2,59732515599	0,0102053333333	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
*	0,0	0,0	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
200.51.240.173(None)	2,98747965793	0,0114836666667	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
213.140.39.116(None)	-0,517399806585	0,0	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
176.52.249.86(None)	0,0419403372687	0,00183266666667	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
94.142.98.40(America/Los_Angeles)	-0,215246254885	0,00099	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
154.54.13.25(None)	-0,517399806585	0,0	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
154.54.47.213(None)	0,496289752047	0,00332133333333	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
154.54.44.229(None)	2,39456689722	0,009541	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
154.54.28.129(None)	-0,517399806585	0,0	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
154.54.24.221(None)	-0,349740192712	0,000549333333333	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
154.54.40.109(None)	-0,44069146383	0,000251333333333	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
154.54.42.86(None)	-0,365916089924	0,000496333333333	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
130.117.51.42(None)	-0,441505345451	0,000248666666667	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
130.117.0.142(None)	-0,253803896667	0,000863666666667	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
130.117.48.113(None)	-0,517399806585	0,0	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
149.6.42.74(None)	0,280916328158	0,00261566666667	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
62.40.98.108(Europe/London)	-0,517399806585	0,0	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
62.40.98.66(Europe/London)	0,823368428381	0,004393	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
83.97.88.209(Europe/London)	-0,517399806585	0,0	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
83.97.88.210(Europe/London)	-0,517399806585	0,0	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
193.137.0.29(None)	-0,342516993328	0,000573	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
193.136.1.2(None)	-0,486268834591	0,000102	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
193.136.4.38(None)	-0,517399806585	0,0	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
193.136.54.81(Europe/Lisbon)	-0,517399806585	0,0	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
*	0,0	0,0	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
*	0,0	0,0	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
*	0,0	0,0	0,00169525	0,0032764797714	0,0049717297714	-0,0015812297714
